model,feature_set,accuracy
NN,Feature Set 1,0.9358841778697001
RF,Feature Set 1,0.9576008273009308
KNN,Feature Set 1,0.7921406411582212
DT,Feature Set 1,0.9296794208893485
NB,Feature Set 1,0.8541882109617374
NN,Feature Set 2,0.937952430196484
RF,Feature Set 2,0.9607032057911065
KNN,Feature Set 2,0.7890382626680456
DT,Feature Set 2,0.9451913133402275
NB,Feature Set 2,0.8634953464322648
NN,Feature Set 3,0.983453981385729
RF,Feature Set 3,0.9824198552223371
KNN,Feature Set 3,0.922440537745605
DT,Feature Set 3,0.9493278179937953
NB,Feature Set 3,0.9358841778697001
NN,Feature Set 4,0.9958634953464323
RF,Feature Set 4,0.9968976215098242
KNN,Feature Set 4,0.9720785935884177
DT,Feature Set 4,0.9875904860392968
NB,Feature Set 4,0.9627714581178903
NN,Selected Features,0.9617373319544984
RF,Selected Features,0.9917269906928645
KNN,Selected Features,0.8138572905894519
DT,Selected Features,0.9886246122026887
NB,Selected Features,0.9389865563598759
